"","Min","Mean","Median","result"
"Austria",172,44022.5446428571,17915.5,4.64367514254288
"Belgium",0,32758.4205607477,16165,4.51532295419071
"Bulgaria",0,9982.94488188976,5177,3.99925867328106
"Croatia",0,8626.12587412587,4218,3.93581579116669
"Cyprus",0,4380.85401459854,2130,3.64155878120588
"Czechia",0,31286.7172413793,14710,4.49535999719072
"Denmark",0,22387.5694444444,5444.5,4.35000694600582
"Estonia",0,4171.48936170213,1472,3.62029114036621
"Finland",0,9083.85906040268,2966,3.9582703873526
"France",133,263681.035714286,125012.5,5.42107889588821
"Germany",904,247826.251851852,100943,5.39414730862007
"Greece",6,33906.2482269504,17403,4.53027973715421
"Hungary",9,14984.1923076923,7427.5,4.1756333381548
"Iceland",1,1514.15602836879,240,3.18017062996467
"Ireland",0,10791.8402777778,3862.5,4.03309550903291
"Italy",1694,186878.282051282,101264,5.2715588330357
"Latvia",0,7890.06060606061,3867,3.89708033917604
"Liechtenstein",0,157.829457364341,66,2.19818806336547
"Lithuania",0,8509.72950819672,3466,3.92991575574093
"Luxembourg",1,2419.49645390071,1176,3.38372498992781
"Malta",0,812.246478873239,382,2.90968783733406
"Netherlands",435,61324.3309352518,24411,4.78763281863605
"Norway",30,10395.3120567376,2222,4.01683753094358
"Poland",11,45372.85,12250,4.65679605941589
"Portugal",1,39197.2624113475,14944,4.59325573637856
"Romania",0,22516.2054794521,8646.5,4.35249520331136
"Slovakia",0,17085.1870503597,4930,4.23261973786082
"Slovenia",0,8781.49645390071,5797,3.94356853029033
"Spain",2208,98476.6384615385,58768.5,4.99333321536476
"Sweden",0,19103.7426470588,5817.5,4.28111845896168
