Respuesta,"Enviado el:",Institución,Departamento,Curso,Grupo,ID,"Nombre completo","Nombre de usuario",Q00_G1-v2,Q00_G2-v2,Q00_G3_v2,Q00_G4->Interest,Q00_G4->Workload,Q00_G4->Difficulty,Q00_G5->Interest,Q00_G5->Workload,Q00_G5->Difficulty,Q00_G6,Q00,"Q00_C1->1. Python","Q00_C1->2. R","Q00_C1->3. SQL and databases","Q01_C2->1. Python","Q01_C2->2. R","Q01_C2->3. SQL and databases","Q02_C3->1. Python","Q02_C3->2. R","Q02_C3->3. SQL and databases","Q03_M1->Teacher explanations","Q03_M1->Practical computer exercises","Q03_M1->Grading other students' exercises","Q03_M1->Midterm exams","Q03_M1->Moodle forums and questions/answers","Q03_M1->Moodle grade book","Q03_M1->Teachers' comments to exercises and use of ""rubricas""","Q04->In general, assessment methods are fair","Q04->We are only asked about material that we have been explained","Q04->The relative weight for each part is appropriate","Q04->Grading of our comments on other students' work is a good idea",Q05_CC1b_v2
116452,"16/12/2021 18:55:42",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo1,,"*Creo que al principio faltó un poco de conocimientos sobre qué es la consola, cómo abrirla y en qué se diferencia de un entorno como por ejemplo IDLE en python. Porque no se trabajan igual y no es obvio saberlo desde el principio.*En R hemos trabajado con matrices de datos muy grandes y sinceramente es muy difícil ver que estás cambiando u operando dentro de ellas con esas dimensiones. Se han introducido muchas funciones de forma muy rápida, y cuesta asimilar tantos paquetes con tantas funciones. Igual una vez solucionados todos los errores técnicos que ha habido en estas clases hubiese habido más tiempo para darlo de forma más lenta, pero creo que necesito o ir más despacio o descripciones más claras de los comportamientos de las funciones.","*Las clases son muy útiles. Buena combinación de teoría y práctica para poder ir aprendiendo poco a poco.*Se empieza desde las bases sin dar nada por hecho y lo agradezco bastante. Y las dudas siempre son contestadas de forma directa y amable.*Todo el temario esta subido en moodle, y los apuntes son buenos. Puedes confiar en ellos para repasar en casa.*Si la carga de trabajo a veces ha podido ser un poco grande considero que ha sido solo mala valoración del tiempo en algún ejercicio pero no como defecto general. Más puntual que otra cosa. Además de que corregir scripts de otros compañeros se me hace interesante para poder ver como se resuelven los mismos problemas por diferentes caminos, por lo que estoy contenta con los ejercicios propuestos en general.","Personalmente me parece un poco raro el examen teórico porque me parece una asignatura muy práctica. Siento que no necesito saber exactamente por ejemplo qué clase es una variable porque puedo escribir class(variable) y averiguarlo en mi propio programa, sin necesidad de saber de antemano qué es. Programación la siento como una asignatura más orgánica en la que escribes tu programa y luego se trata de aprender a saber ver los errores y corregirlos, no de tener una idea tan clara como las que tienes que tener para un examen tipo test.",-999,-999,-999,-999,-999,-999,"5 : Yes, without hesitation","5 : 5 (Yes, definitely)",5,5,4,5,5,2,3,4,4,5,5,4,3,5,3,5,4,5,5,5,
116443,"16/12/2021 18:36:59",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo2,,"- A veces se va muy rápido y como te atasques un poco ya vas perdido (pero el tiempo es el que es, es entendible, tendria que ser una asignatura anual)- Los ejercicios para hacer en casa requieren MUCHO tiempo, no es normal que con todas las asignaturas que tenemos dediquemos más de 10 horas de un fin de semana solo a programación&nbsp;- Las presentaciones de los últimos temas de R podrían estar algo más explicadas- Algunos datos estaban mal/daban resultados sin sentido --&gt; más de un 100% de vacunados en un país :((&nbsp;","- Parece que hemos aprendido a programar un poquito- Se empieza desde 0&nbsp;- Tiene sentido dar python primero porque facilita mucho el entendimiento en R","- Podría ayudar dar ""pistas"" en los ejercicios sobre qué funciones/objetos/... hay que usar o sobre alguna cosa muy específica para no tener que pasar horas buscando en internet&nbsp;- Quizá dar algo de material extra, aunque no de tiempo en clase para verlo. Por ejemplo explicando alguna de las funciones en mayor detalle, dando más ejemplos... Esto evitaría también tener que buscar mil cosas en internet- Poner enunciados algo más claros, especificar hasta qué nivel de detalle se busca (por ejemplo en gráficos)",4,4,5,3,5,5,"3 : I wouldn't encourage nor discourage them","4 : 4",3,4,2,2,4,3,-999,-999,-999,5,5,3,5,5,5,4,4,4,5,5,"Sobre todo en R se ha mencionado muchas veces que en internet hay mucho material. Sí, es verdad, pero es inacabable. Venimos a clase para que se nos expliquen aquí las cosas, hay veces que parece que nos damos la clase a nosotros mismos con materiales que encontramos en google, y no creo que sea la manera más eficiente de usar nuestro tiempo.&nbsp;Respecto a los ejercicios, sobre todo en python, quizá en vez de poner un script largo cada semana se podrían poner unos pocos más cortitos. Esto facilitaría la división entre los integrantes del grupo y además permitiría entender las funciones más o menos ""de una en una"", simplificando el problema.&nbsp;"
116451,"16/12/2021 18:42:14",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo3,,"En la parte de R, las diapositivas son poco informativas. Es un poco caos tener que estudiar unas cosas del html y otras de las diapositivas. Además las diapositivas son poco explicativas, no puedes estudiar con ellas o utilizarlas como apuntes para el examen. En mi opinión, las diapositivas de la parte de Python eran bastante ilustrativas y te permitían estudiar en casa si habías perdido el ritmo en clase. Además, el hecho de que aparecieran las soluciones a los scripts, como por ejemplo en qué casos da error ayuda mucho a entender para qué sirve cada cosa, creo que esto ha faltado en la parte de R.&nbsp;Por otro lado, siento que en R no he aprendido realmente las cosas si no que las he tenido que rehacer en casa. En clase no nos daba tiempo a escribir los ejemplos, solo mirábamos qué funcionalidades tiene R y luego en casa teníamos que&nbsp; entenderlo y aprender a usarlo. Hemos instalados muchos paquetes y usado solo algunas funcionalidades sin tener los conocimientos básicos claros.&nbsp;Los scripts que hemos hecho en casa eran demasiado largos y para resolverlos teníamos que descargar archivos y hacer cosas que no hemos visto en clase, lo que hacía que la carga de trabajo fuera mucho mayor y nos desmotiváramos.&nbsp;","Las diapositivas de Python son muy útiles y explicativas. Las auto evaluaciones son muy útiles a la hora de practicar de cara al examen.&nbsp;&nbsp;",,3,5,5,3,5,5,"2 : I wouldn't be very enthusiastic about it","2 : 2",3,2,1,2,3,1,2,5,1,4,4,2,4,4,3,2,2,2,1,3,
116448,"16/12/2021 18:38:24",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo4,,"En mi opinión, diría que el nivel de los ejercicios es bastante más alto que el de los ejemplos explicados en clase. En mi caso, al mirar la teoría y probar los ejemplos entiendo las cosas pero a la hora de enfrentarme a un ejercicio luego en mi casa me bloqueo y no se por donde empezar. Esto creo que es por el aumento en el nivel de exigencia y a que hay que tener muchas cosas en la cabeza e ir un paso más alla para poder realizarlos normalmente.&nbsp;","Me parece muy acertado que haya ejercicios semanales y examenes parciales que ""nos obliga"" en cierto sentido a que llevemos la asignatura al día ya que creo que sería practicamente imposible aprender a programar sin el trabajo constante que estamos realizando. Además, la división de los examenes con una parte de tipo test me parece buena idea ya que permite aprobar la asignatura si entiendes lo básico aunque a la hora de escribir el script concreto del examen te surjan problemas difíciles de solventar con el poco tiempo y la presión del examen.&nbsp;","Reduciría la dificultad de los ejercicios semanales, ya que creo que sería más productivo aprender a programar cosas más sencillas para poder avanzar con menor dificultad.&nbsp;",4,5,5,3,5,5,"2 : I wouldn't be very enthusiastic about it","3 : 3",3,3,3,2,4,4,4,4,3,5,5,4,5,4,3,5,3,2,2,4,
116427,"16/12/2021 18:29:02",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo5,,"La parte correspondiente a R debería explicarse mejor para entender todas las funciones, parámetros, etc.","La parte de Python ha sido muy bien explicada y los ejercicios eran adecuados y entretenidos. ","Explicar mejor las funciones en R, en particular los parámetros. En el caso de que sean muchos, solo aquellos que sean más importantes.",5,3,3,5,3,2,"5 : Yes, without hesitation","5 : 5 (Yes, definitely)",5,2,1,5,4,1,2,4,1,4,5,4,5,3,1,5,5,5,5,5,"Ha sido una de las asignaturas con las que más he disfrutado a lo largo de la carrera, me ha gustado mucho más de lo que esperaba, en especial Python, me han parecido un reto entretenido los ejercicios y he disfrutado haciéndolos. Aunque R no me ha gustado tanto, sí que le veo utilidad. En definitiva, creo que lo que he aprendido en esta asignatura me servirá en el futuro. "
116446,"16/12/2021 18:37:55",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo6,,"1) El ritmo de las clases R es demasiado rápido, son muy difíciles de seguir. Creo que para mejorar esto se puede disminuir el número de diapositivas a dar en cada clase y centrarse en los conceptos más importantes. Por ejemplo que cada tema incluya una herramienta concreta, si una clase se centra en funciones creadas por el usuario que se vean ejemplos de esas funciones, si es sobre funciones de R aplicadas a data frames que se den las importantes y que queden absolutamente claras para toda la clase con ejemplos sencillos.&nbsp;2) El uso de tablas de 50 mil variables (y no estoy exagerando) que hemos utilizado tanto para los ejemplos en clases de R como para los ejercicios semanales no ayuda a comprender el uso de funciones y métodos aplicadas a ellas. En las clases al menos podrían usarse tablas sencillas con las que trabajar.&nbsp;3) Hay que disminuir el número de ejercicios propuestos por semana. Algunos de ellos especialmente los últimos tenían maneras equivalentes de resolverse, por lo que es redundante y no nos ayuda a aprender más. Estos ejercicios tienen que tener como base las funciones explicadas en clase, para que puedan solucionarse con lo explicado en clase sin tener que buscar funciones fuera.&nbsp;","1) La parte de python se ha entendido muy bien, creo que hemos adquirido una base suficiente como para entender los scripts de otras personas y seguir formándonos en programación.&nbsp;2) El hecho de hacer los trabajos en grupo facilita mucho la tarea de resolver los ejercicios y también podemos resolver dudas entre nosotros y comparar soluciones válidas a un mismo problema.&nbsp;3) Las autoevaluaciones nos son muy útiles para prepararnos los exámenes.&nbsp;","1) Reduciría el número de diapositivas en la parte de R.2) Reestructuraría las diapositivas de R para que en las clases pudiésemos ver las funciones más importantes divididas por herramientas (con esto me refiero a bucles, funciones, trabajar con fechas...). Esto nos facilita estudiar y también hacer las tareas semanales.&nbsp;3) Simplificaría los ejemplos que se utilizan en las clases de R para entender rápidamente qué hace cada función, podemos utilizar tablas guardadas en R que están como ejemplos en vez de tablas de covid con cientos de miles de datos que es muy difícil comprender.&nbsp;4) Disminuir el número de ejercicios propuestos por semana. Algunos tenían soluciones redundantes entre ellos solo cambiando los datos (en trabajos de R) y otros tenían subapartados dentro de ellos limitando mucho nuestro tiempo para trabajar en los scripts (en trabajos de R y de python).&nbsp;",4,5,4,4,5,5,"3 : I wouldn't encourage nor discourage them","3 : 3",5,3,4,4,2,3,4,5,2,4,5,2,4,2,2,4,4,3,4,2,
116519,"19/12/2021 17:54:09",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo7,,"La parte de R ha sido un poco caótica, hubo muchos problemillas a la hora de hacer las entregas, ya sea por el enunciado o por problemas de ficheros. También comparado con python es un poco difícil saber de que te puede examinar en el examen, en python era ""python base"" casi todo mientras que R hemos visto múltiples paquetes.&nbsp;Y aunque no contemos con los paquetes algunas cosas de R base en mi opinión son un poco más complejas, las funciones de R en su mayoría tienen más argumentos que python y por lo tanto hay que memorizar más, o bien tener más tiempo de practicarlo. Por ejemplo los parámetros de las gráficas son muchísimas, es verdad que luego no se usan todas, pero unos 10 - 20 funciones/argumentos te tienes que saber. Otro ejemplo son las familias apply, hay como 5 funciones y es un poco lioso al principio.&nbsp;Creo que en este sentido se debería seleccionar un poco mejor los contenidos de R que se ven.Otra cosa pero ya es un problema menor, pero igual en python se podría plantear otros tipo de problemas. Casi todo los scripts que hacíamos eran algo como ""toma un fasta, traducelo y dice que dianas tiene para las enzimas de restricción"", igual se podría plantear otro tipo de problema biológico q no sea esto. Con los problemas planteados se ha entendido muy bien cada concepto de programación, así que a no ser que haya alternativas bastantes buenas no lo cambiaría.Por último, comentar que la parte de SQL ha sido muy aburrida. Igual se podría meter 2 clases addicionales de R.","En general ha asignatura es muy buena.&nbsp;Me ha gustado de dinámica de trabajo que hay, mandando entregas semanalmente te hace que repases cada semana el temario y cuando vas al examen vas mucho más relajado comparado con otras asignaturas que has tenido.&nbsp;El contenido también es muy interesante.Los profes en muy muy accesibles a la hora de dudas o en el foro.&nbsp;","Esta mencionado parte de aspectos negativos.&nbsp;Lo primero sería una pequeña reducción en el temario de R.Y lo segundo sería, si se puede, cambiar el tipo de problemas que se plantea en las tareas de python.",5,3,2,4,3,3,"5 : Yes, without hesitation","5 : 5 (Yes, definitely)",5,4,1,4,5,1,3,5,1,5,5,2,5,3,3,5,5,5,5,3,"Una actividad/ clases que se me ocurre que se podría hacer es que al final de python (o el último día de R). Luis o Modeto nos enseñen algún caso real de como se usa programación. Tipo enseñáis un script real que uséis en vuestro día día en la labor investigadora. Seguramente sea más complicado de lo que se ha visto en clase pero creo que nos dará una idea más clara de como de importante es la programación.O también se podría contactar con profes de otras asignaturas, y hacer un script que sea útil en el futuro. Por ejemplo si en algún ejercicio se tiene que hacer ciertos cálculos / gráficas con excel. Se podría hacer un script que se use más adelante en esa asigntura.Yo personalmente he usado R para modificar unos arhivos fasta (era eliminarles unas secuencias y ordenalos por nombre) porque no sabía como hacerlo con un programa. Se podría hacer algo así del estilo."
116439,"16/12/2021 18:34:58",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo8,,"Las entregas semanales llevaban mucho tiempo, especificamente las de R, ya que habia que buscar mucha informacion adicional sobre el funcionamiento de cada funcion y no bastaba con lo aprendido en clase.&nbsp;Quizás las diapositivas podrian ser un poco más descriptivas en esta parte y no tan solo lineas de codigo, para que fuese más facil entenderlo y no solo verlo por pantalla al correr el script.En ocasiones la dificultad me ha parecido elevada teniendo en cuenta que mucha gente no teniamos conocimientos previos de programación, en vez de dar una base sobre la que trabajar ha habido campos en los que se ha entrado en mucho detalle, y si no entendias de primeras la base era dificil seguirlo.","El bloque de python estaba muy bien estructurado y las clases se hacian muy llevaderas y dinamicas.","Las entregas podrian subdividirse en apartados más pequeños y concisos, de forma que el no poder hacer uno de ellos n te impida realizar el resto.Hacer una clase introductoria para entender el lexico y tecnicismos que implica el uso de python y R.Los ultimos temas de R se dieron bastante rapido y no daba tiempo ha interiorizar los contenidos a lo largo de la clase, quizás liberar un poco la carga restandole dificultad y aumentando el entendimiento y la claridad.",3,4,4,4,5,5,"1 : No way","3 : 3",4,2,1,4,3,3,4,5,3,5,5,4,4,3,1,4,4,2,3,4,
116458,"16/12/2021 20:33:08",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo9,,"Lleva mucho tiempo. Al final tanto con los ejercicios de R como con python estábamos todo el fin de semana haciéndolos y nos quitaba mucho tiempo para otras asignaturas. Además, en casi todas las ocasiones, los ejercicios de entrega incorporaban muchas cosas nuevas para hacer que teníamos que descubrir nosotros y eso quitaba mucho tiempo. Siento que en clase se nos enseñaban cosas muy básicas, y en los ejercicios se nos pedían cosas muy difíciles y esto hacía también que muchas veces, pasáramos rápido por las cosas básicas sin acabar de entenderlas bien.En R, las diapositivas creo que se podrían mejorar y hacerlas de versión parecida a las de pyhton donde aparecen los resultados claros de cada ejemplo de script y lo que hace cada función. Además en R, al venir de python, se hace más complicado adaptarse otra vez a otro lenguaje, que aunque es parecido, los primeros scripts de R cuestan más. Al mismo tiempo, la forma de plantear los ejercicios de R siento que son distintos, y con estos no he sentido que estemos aprendiendo a programar sino a reproducir cosas o a conocer algunas funciones, pero no sé si sería del todo capaz de crear un programa bien con R. Creo además, que la parte de tablas, data frames y así es bastante liosa y se podrían poner mas ejemplos sobre ello.&nbsp;","Asignatura muy interesante y dinámica, al final engancha mucho a pesar de que también es muy frustrante cuando no salen las cosas. Agradezco también que se nos haya tenido en cuenta para mejorar cada parte de la asignatura y se hayan hecho caso a ciertas de nuestras recomendaciones.&nbsp;","Intentaría reducir ciertos ejercicios de entrega, puesto que llevan mucho tiempo y las diapositivas de la parte final de R, para hacerlas un poco más completas e informativas.&nbsp;",4,4,4,4,5,4,"4 : Yes, it's OK","4 : 4",4,4,2,3,4,3,4,4,3,5,5,4,5,5,5,5,4,4,5,3,
116425,"16/12/2021 18:28:55",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo10,,"Considero que es una asignatura bastante nueva en concepto para la mayoría de nosotros por lo que creo que falta la explicación clara sobre algunos conceptos. Además, excesiva carga de trabajo con los ejercicios. Dificultad para coordinarnos con los compañeros todas las semanas para hacer el ejercicio.&nbsp;","Creo que los profesores se han adaptado bastante bien a las necesidades de los alumnos y no ha habido problemas en adaptar la asignatura o los contenidos cuando ha sido necesario.&nbsp;","La distribución en tiempo de las entregas. Quizás la organización en grupos para hacer los trabajos.&nbsp;",4,5,4,4,5,4,"4 : Yes, it's OK","4 : 4",3,4,1,3,5,4,3,4,1,5,5,3,5,4,3,4,5,4,3,2,
