Respuesta,"Enviado el:",Institución,Departamento,Curso,Grupo,ID,"Nombre completo","Nombre de usuario",Q00_G1-v2,Q00_G2-v2,Q00_G3_v2,Q00_G4->Interest,Q00_G4->Workload,Q00_G4->Difficulty,Q00_G5->Interest,Q00_G5->Workload,Q00_G5->Difficulty,Q00_G6,Q00,"Q00_C1->1. Python","Q00_C1->2. R","Q00_C2->1. Python","Q00_C2->2. R","Q00_C3->1. Python","Q00_C3->2. R","Q00_M1->Teacher explanations","Q00_M1->Short programming exercises (python)","Q00_M1->Programming problems","Q00_M1->Grading other students' programming problems","Q00_M1->Teachers' comments to exercises and use of ""rubricas""","Q00_M1->R Project Based Approach (1): R1, R2 & R6 lectures","Q00_M1->R Project Based Approach (2): Course Materials online","Q00_M1->R Project Based Approach (3): Experts Meetings","Q00_M1->R Project Based Approach (4): Group Meetings","Q00_M1->R Project Based Approach (5): Feedback from the project","Q00_M1->R Project Based Approach (6): Project Exercises","Q00_M1->R Project Based Approach (7): Demonstration session","Q00_M1->R Project Based Approach (8): Overall","Q00_M1->Midterm exams","Q00_M1->Moodle forums and questions/answers","Q00_M1->Moodle grade book","Q00->In general, assessment methods are fair","Q00->We are only asked about material that we have been explained","Q00->The exams' programming problems are easier than the ones solved during the course","Q00->The relative weight for each part is appropriate","Q00->Grading of our comments on other students' work is a good idea",Q01_CC1b_v2,"Q02_M1->Teacher explanations","Q02_M1->Short programming exercises (python)","Q02_M1->Programming problems","Q02_M1->Grading other students' programming problems","Q02_M1->Teachers' comments to exercises and use of ""rubricas""","Q02_M1->R Project Based Approach (1): Course Materials online","Q02_M1->R Project Based Approach (2): Experts Meetings","Q02_M1->R Project Based Approach (3): Group Meetings","Q02_M1->R Project Based Approach (4): Project feedback","Q02_M1->R Project Based Approach (5): Project Exercises","Q02_M1->R Project Based Approach (6): Demonstration session","Q02_M1->R Project Based Approach (7): Overall","Q02_M1->Midterm exams","Q02_M1->Moodle forums and questions/answers","Q02_M1->Moodle grade book"
151601,"21/12/2023 14:09:04",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo1,,"Python: la mayor parte del tiempo dedicado a este bloque es para hacer los proyectos semanales. Sin embargo, en el examen se evalúa más la capacidad de hacer ejercicios cortos rápido (y eso no es lo que practicas haciendo proyectos).R: aunque el aprendizaje autónomo es muy útil, hay que tener en cuenta que el bloque de R se da al final del semestre, que es precisamente cuando más carga de trabajo hay, por lo que dejar que sea cuestión de ""voluntad"" el estudio de los bloques quizás no es lo mejor. Además, parece que muchos grupos han tenido que dividirse los 2 proyectos entre los miembros del grupo por cuestión de tiempo, por lo que quizás es mejor hacer 1 proyecto y que todos puedan participar. ","Creo que la asignatura es muy completa. El hecho de que la mayor parte de las explicaciones estén acompañadas de ejercicios hace que realmente fijes conocimiento.","Lo mencionado en los aspectos negativos.",2,2,2,2,2,2,"4 : Yes, it's OK","3 : 3",5,3,3,4,5,4,5,5,5,4,4,3,3,2,1,5,3,2,1,1,3,3,3,4,2,3,3,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
151587,"21/12/2023 14:09:24",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo2,,"R: Los últimos temas se solapan con el proyecto. Dado que el proyecto cuenta bastante de la nota, los temas se miran muy por encima. Creo que la presentación de los proyectos ha sido un poco caótica y me hubiese gustado ver mi proyecto hecho por otro grupo. Además, al ser 2 algo largos, creo que casi todos se han dividido entre los integrantes. Es decir, que no se aprendían dos a fondo.En python: el examen fue más difícil en comparación con los ejercicios semanales","Tanto en python y en R hay bastantes ejércitos, que aunque quiten tiempo, cuentan bastante de la nota. Esto me parece bien, dado que se cuenta el trabajo diario y no todo a un examen.","Reduciría los proyectos a uno y modificaría la forma de presentarlo.Tambn creo que, aunque me parecía bien explicar entre grupos los temas, haría alguno explicado por el profesor. Por si acaso saltas algo que no considerabas tan importante.",3,3,4,3,3,3,"3 : I wouldn't encourage nor discourage them","4 : 4",4,4,4,4,4,4,5,5,4,2,5,3,4,3,3,5,4,2,3,1,3,3,3,2,1,4,1,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
151598,"21/12/2023 14:08:08",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo3,,"El proyecto R es demasiado largo, imposible compaginar con el resto de asignaturas y acabas cogiéndole manía a R. Lo haría igualmente pero solo 1 proyecto, no 2.Sobran las 3 horas que hemos estado presentando y votando y sobra más habiendo un examen esa misma tarde.Creo que es suficiente con entregar el proyecto finalEn general hay mucha carga de trabajo. ","Asignatura útil que da las herramientas para analizar datos bioquímicos de forma rápida y eficaz. ","Que el proyecto sea de 1 ejercicio sólo. Que no haya lo de las 3 horas de presentaciones. El examen de python muy complicado, rebajar nivel. ",3,5,4,2,4,5,"3 : I wouldn't encourage nor discourage them","3 : 3",4,4,3,5,4,5,4,4,4,2,4,4,4,2,2,2,3,1,3,4,5,2,4,3,1,3,2,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
151596,"21/12/2023 14:08:18",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo4,,"A mi parecer hay mucha carga de trabajo y no se tiene en cuenta que tenemos otras asignaturas además de esta. De hecho creo que hay poca organización con respecto a la asignatura bibms, siendo profesores que imparten ambas, teniendo exámenes, presentaciones y entregas de ambas asignaturas en mismas fechas.Los proyectos llevan mucho tiempo y no es ajustado a lo que debería ser para una optativa.","Se aprende mucho acerca de cosas nuevas y creo que puede ser útil en un futuro, pero hay poco tiempo para asimilarlo todo.","La dificultad del examen de python, no estuvo ajustada a nuestros conocimientos.También que haya menos entregas semanales porque quita mucho tiempo para lo poco que suman.",4,5,5,4,5,5,"3 : I wouldn't encourage nor discourage them","3 : 3",2,4,4,4,5,5,4,2,4,1,5,3,4,5,5,5,4,3,4,4,5,1,3,1,1,4,2,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
151593,"21/12/2023 14:07:49",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo5,,"El nivel de exigencia para algunos de los códigos,  en especial para algunos de los proyectos de REl nivel de dificultad para los programming codes de python.Demasiado porcentaje de evaluación del examen de python para la carga de trabajo de los assignments y proyectos.En general tiene bastante carga de trabajo, compensable si se puede evitar hacer el examen final. Pero podría estar mejor distribuida si los scripts tuviesen un mayor valor sobre la nota final.Hay veces que el trabajo en grupo no disminuía la carga de trabajo individual porque se necesita entender le código de principio a final.","Quita carga de trabajo para navidades.Es aprendizaje por programación, lo cual el enfoque práctico es muy práctico (valga la redundancia)La dinámica de trabajo en grupo, ya que hay veces que uno mismo no es capaz de resolver un problemaSe tiene la sensación de que se entienden los aspectos básicos de los dos lenguajes de programación y se estructura la mente para programar (a base de mucha prueba y error, todo hay que decirlo)","Modificaría los criterios de evaluación si se mantiene la misma carga de trabajo para los scripts y los proyectos de R.El examen de python me pareció demasiado largo, tengo la sensación de que si llevase más tiempo programando lo haría en el tiempo fijado, pero no me dio tiempo ni para conseguir un aprobado (aunque luego se solucionó el problema). Es decir, no por conocimientos (creo que estaba bien), pero sí por tiempo (hay que entender el ejercicio, pensar cómo hacer el código y corregir posibles errores).Quitaría algunos proyectos de R que son más complejos (casi todos pensamos que el de la qPCR era bastante complicado), así que para elegir en vez de 8 proyectos, a elegir 2 entre 3, para que todos los grupos tuviésemos la misma dificultad.",4,5,5,3,5,4,"3 : I wouldn't encourage nor discourage them","3 : 3",3,4,3,4,5,4,3,5,4,2,5,3,4,3,4,4,3,3,3,3,4,4,2,1,2,2,2,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
151545,"21/12/2023 13:56:50",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo6,,"La parte de enseñarnos a nosotros mismos R no me ha gustado mucho","Todos las posibles aplicaciones de la programación, me ha servido para aplicarlo en prácticas para manejar datos ","Igual la parte de ""expertos"" de R, enseñarnos a nosotros mismos",5,4,2,5,4,2,"5 : Yes, without hesitation","5 : 5 (Yes, definitely)",5,3,5,2,3,4,5,5,5,4,5,4,5,2,2,5,5,4,3,4,2,1,4,5,3,4,4,,5,5,5,4,5,5,3,5,4,3,3,2,4,4,1
151616,"21/12/2023 14:24:10",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo7,,"La carga de trabajo es demasiada, y la elevada dificultad hace que sea muy improbable llegar a resolver los ejercicios sin utilizar inteligencia artificial. En el examen de Python había demasiadas preguntas teniendo en cuenta el tiempo del que disponíamos en para hacerlo. El método de aprender R por nuestra cuenta ha supuesto una carga de trabajo extra y creo que quizás hubiera sido más eficiente dedicar algún día a recibir clase de los profesores para cada tema. Hacer dos proyectos de R han supuesto mucho trabajo. Las fechas de entregas/exámenes solapaban continuamente con la asignatura de BIBMS.","Es entretenido y muy práctico, lo cual veo adecuado para una asignatura de programación. Además considero que la parte de R es bastante útil para nuestra carrera. Poder llevar apuntes al examen en R y poder usar IDLE en el de Python se agradeció bastante. Los profesores son muy majos y comprensivos, y se han portado bien siempre que ha habido alguna queja. Se nota que han hecho un esfuerzo por ayudarnos en la medida de lo posible.","Las tareas semanales de Python las haría o más cortas o más fáciles, y el examen lo haría más corto. En cuanto a R, haría solo un proyecto en lugar de dos, e incluiría alguna clase en la que los profesores explicasen un poco el temario.",5,5,4,5,5,5,"4 : Yes, it's OK","4 : 4",5,5,3,5,5,5,5,5,5,3,5,4,5,3,4,5,5,3,4,2,5,5,5,4,3,5,2,"Los profes muy majos y comprensivos, y los ayudantes también. En general nos han ayudado mucho con todo lo que hemos necesitado y han estado muy implicados :) se nota que de verdad quieren que aprendamos y eso se refleja de forma positiva en la forma de interaccionar con nosotros.",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
151621,"21/12/2023 14:35:23",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo8,,"-El examen de Python se sintió injusto en cuanto a la extensión, sobre todo porque los ejercicios de programación no pueden 'hacerse a la primera' en muchos casos, sino que requieren bastante prueba y error. - La parte de R no me resultó muy bien organizada en cuanto a el orden de las fechas. Por ejemplo, el examen en el que se debía 'controlar que habíamos entendido los conceptos que estábamos aplicando al proyecto', se realiza cuando en algunos casos los proyectos estaban apenas empezados. Las fechas muchas veces coincidían con exámenes da la asignatura de bioinformática, y esto hacía difícil preparar bien los temas. -Los temas de los que te hacías 'experto' se entendían bastante bien, pero aquellos que te explicaban no quedaban claros. A veces leerlos antes no era posible (y también podías sentir que si lo leeías ibas con un nivel de preparación muy parecido al del 'experto', y que la clase no servía de mucho.","-La parte de Python está muy bien explicada y los ejercicios cortos eran muy útiles como complemento a las lecciones. Los ejercicios largos resultaban más difíciles pero ayudan a profundizar más allá y aprender realmente a enfrentarse a programar.","Organizar mejor las fechas de R. Tal vez la parte de dedicar un día entero a explicar un tema a tus compañeros no funcione demasiado, porque al final le tienes que dedicar el mismo tiempo en casa para poder entenderlo.",4,4,4,5,4,4,"4 : Yes, it's OK","4 : 4",5,4,3,4,3,4,5,5,5,3,3,3,5,3,2,4,4,2,3,3,4,5,4,5,2,4,5,,5,5,5,3,4,5,4,2,4,4,2,3,3,4,4
151581,"21/12/2023 14:09:26",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo9,,"Hay bastante trabajo semanal, pero es lógico porque al final es así como se aprende a programarLa parte de R la he visto un poco apresurada. El sistema de explicación por equipos no me ha terminado de convencer, hubiera preferido una explicación estándar por parte del profesor.La parte de los proyectos sí me ha parecido muy pertinente","Me ha gustado mucho la asignatura, creo que se aprenden habilidades valiosas y te da una forma diferente de enfocar los problemas biológicos","El examen de Python no fue acorde al tiempoLa parte de R de explicarse los unos a los otros no me ha terminado de convencer, hubiera preferido una clase estándar",5,4,4,5,4,4,"5 : Yes, without hesitation","5 : 5 (Yes, definitely)",4,5,5,5,4,3,5,5,5,5,5,5,5,3,5,5,5,3,4,5,3,3,3,4,2,5,5,"El examen de Python no fue acorde al tiempo de que disponíamos. La solución adoptada de subir la nota sin contar la parte de script no es justa porque solo beneficia a aquellos alumnos que no hicieran el script en el examen. Resulta en cierto modo molesto que se den casos por ejemplo de que esa modificación en promedio suba la nota de los alumnos 1 punto (así lo dice Moodle) pero en mi caso bajaba 0'8; es verdad que me quedé con la misma nota que la original, pero de haberlo sabido habría planteado el examen de forma diferente; porque me enfoqué en el script y hubo ejercicios que con 3 minutos más de tiempo (literalmente, los acabé sacando al rato de llegar a casa) los habría hecho.Tampoco es razonable jugar con el tiempo para el examen; si se dice a priori que el examen dura 1h30, el examen se ha de calibrar para eso, no luego decir que dura 2h, y luego 2h30, y al final resulta que mucha gente no pudo acabar el examen.En cuanto a porcentajes le habría dado algo más de peso a la parte de trabajo / evaluación continua de Python respecto al examen. Es mucho trabajo semanal, preguntas cortas todas las semanas+ programming problema y apenas cuenta un 15%",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
151582,"21/12/2023 14:01:51",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo10,,"Ha sido demasiada carga de trabajo para ser una optativa, y los exámenes demasiado difíciles.","He aprendido un montón, siento que es una asignatura muy útil y ambos sois muy buenos profesores. He disfrutado mucho hacer los trabajos en especial, aunque es verdad que igual hubiera sido preferible que los trabajos de R fueran individuales.","Si que creo que bajaría la cantidad de trabajo, y haría el examen de python más sencillo y corto. Al final, es una optativa.",5,2,2,5,2,2,"5 : Yes, without hesitation","5 : 5 (Yes, definitely)",4,5,2,5,5,3,5,5,5,1,4,4,5,1,5,5,5,1,4,2,2,5,3,4,2,5,1,"Creo que es una muy buena optativa siempre y cuando estés muy interesado en aprender programación. ",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
